Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.6688,0.6859,0.7162,0.6685,0.6162,0.7127,0.6888,0.7234,0.7096
2,,,,,,,,,
3,0.6796,0.6848,0.7255,0.6793,0.6163,0.7064,0.6411,0.7118,0.7198
4,,,,,,,,,
5,0.6285,0.7023,0.7277,0.6237,0.6196,0.7086,0.6039,0.7123,0.7282
6,,,,,,,,,
7,0.6177,0.6794,0.7139,0.6383,0.6275,0.7037,0.5974,0.7045,0.7106
8,,,,,,,,,
