Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.7089,0.6878,0.634,0.7089,0.7226,0.5158,0.6962,0.5981,0.6456
2,0.6325,0.6689,0.7445,0.6321,0.5478,0.8053,0.6694,0.7756,0.7278
3,0.2732,0.2563,0.4462,0.2732,0.6582,0.3323,0.7869,0.3734,0.423
4,0.9187,0.9431,0.8708,0.9182,0.5761,0.9191,0.5569,0.8976,0.8766
5,0.6002,0.5643,0.5084,0.6287,0.5295,0.4546,0.1181,0.5348,0.5232
6,0.622,0.7598,0.8349,0.601,0.6435,0.8364,0.923,0.7933,0.8268
7,0.1129,0.25,0.4188,0.1751,0.4399,0.3249,0.0823,0.3428,0.4082
8,0.9598,0.9388,0.8694,0.9316,0.7067,0.9201,0.9545,0.9077,0.8708
