Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.4667,0.4851,0.5295,0.4663,0.4202,0.5458,0.4885,0.5473,0.5182
2,0.8273,0.8253,0.8177,0.8272,0.8132,0.7857,0.8293,0.8097,0.8191
3,0.6037,0.6713,0.6104,0.6023,0.4132,0.6508,0.4462,0.6232,0.6085
4,0.7359,0.7365,0.7761,0.7358,0.788,0.7522,0.8521,0.7595,0.7701
5,0.4187,0.5159,0.5828,0.4168,0.4026,0.5576,0.4103,0.5399,0.5781
6,0.7743,0.7936,0.7892,0.7811,0.751,0.7717,0.6976,0.7899,0.7927
7,0.5602,0.6493,0.5925,0.5372,0.4049,0.6484,0.4509,0.6274,0.589
8,0.7046,0.734,0.7673,0.7134,0.7356,0.7503,0.6963,0.7528,0.7644
