Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
,Stacking,0,36.5533,0.2467,0.6997,0.6886,0.3564,0.3497,0.672,0.7082,0.7515,0.575,2292,489,901,947,0.8242,0.5124,0.7178,0.6595
,,1,,,,,,,,,,,947,901,489,2292,0.5124,0.8242,0.6595,0.7178
nosmote+nopreprocess,LightGBM,0,0.0804,0.0083,0.7222,0.6714,0.3457,0.3456,0.6728,0.721,0.7525,0.5758,2571,664,622,772,0.7947,0.5538,0.8052,0.5376
,,1,,,,,,,,,,,772,622,664,2571,0.5538,0.7947,0.5376,0.8052
,XGBoost,0,0.0862,0.004,0.7215,0.6707,0.3443,0.3442,0.6721,0.7204,0.7503,0.5685,2569,665,624,771,0.7944,0.5527,0.8046,0.5369
,,1,,,,,,,,,,,771,624,665,2569,0.5527,0.7944,0.5369,0.8046
,GradientBoosting_80,0,2.2896,0.0122,0.7228,0.6546,0.3255,0.3232,0.6606,0.7158,0.7464,0.5703,2664,754,529,682,0.7794,0.5632,0.8343,0.4749
,,1,,,,,,,,,,,682,529,754,2664,0.5632,0.7794,0.4749,0.8343
,RandomForest,0,2.9337,0.113,0.7235,0.662,0.3351,0.334,0.6665,0.7188,0.739,0.5618,2631,718,562,718,0.7856,0.5609,0.824,0.5
,,1,,,,,,,,,,,718,562,718,2631,0.5609,0.7856,0.5,0.824
,Naive Bayes,0,0.0063,0.003,0.669,0.6105,0.2222,0.2222,0.6111,0.6681,0.6696,0.4407,2442,781,751,655,0.7577,0.4659,0.7648,0.4561
,,1,,,,,,,,,,,655,751,781,2442,0.4659,0.7577,0.4561,0.7648
,LogisticRegression,0,0.426,0.002,0.6893,0.6005,0.2217,0.2168,0.605,0.6743,0.6829,0.4912,2665,910,528,526,0.7455,0.4991,0.8346,0.3663
,,1,,,,,,,,,,,526,528,910,2665,0.4991,0.7455,0.3663,0.8346
,ElasticNetLR,0,3.1439,0.0025,0.6876,0.5967,0.2147,0.2095,0.601,0.6716,0.6817,0.4896,2670,923,523,513,0.7431,0.4952,0.8362,0.3572
,,1,,,,,,,,,,,513,523,923,2670,0.4952,0.7431,0.3572,0.8362
,Stacking,0,11.7255,0.2482,0.7237,0.6735,0.3496,0.3495,0.6747,0.7226,0.7531,0.5764,2573,659,620,777,0.7961,0.5562,0.8058,0.5411
,,1,,,,,,,,,,,777,620,659,2573,0.5562,0.7961,0.5411,0.8058
