Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - nosmote+preprocess,Stacking,0,20.4937,0.2709,0.7194,0.6736,0.3462,0.3462,0.6731,0.7198,0.7516,0.5769,2536,642,657,794,0.798,0.5472,0.7942,0.5529
Scale hba1c in test - nosmote+preprocess,Stacking,1,,,,,,,,,,,794,657,642,2536,0.5472,0.798,0.5529,0.7942
Scale hba1c in test - smote+nopreprocess,LightGBM,0,19.1286,0.0086,0.7073,0.6784,0.3447,0.3428,0.6706,0.7123,0.7519,0.5765,2409,571,784,865,0.8084,0.5246,0.7545,0.6024
Scale hba1c in test - smote+nopreprocess,LightGBM,1,,,,,,,,,,,865,784,571,2409,0.5246,0.8084,0.6024,0.7545
Scale hba1c in test - smote+nopreprocess,XGBoost,0,36.2673,0.0066,0.7068,0.68,0.3468,0.3445,0.6713,0.7123,0.752,0.5763,2397,561,796,875,0.8103,0.5236,0.7507,0.6093
Scale hba1c in test - smote+nopreprocess,XGBoost,1,,,,,,,,,,,875,796,561,2397,0.5236,0.8103,0.6093,0.7507
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,0,45.3281,0.0116,0.6848,0.6692,0.3203,0.3149,0.6547,0.6934,0.7419,0.5621,2268,534,925,902,0.8094,0.4937,0.7103,0.6281
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,902,925,534,2268,0.4937,0.8094,0.6281,0.7103
Scale hba1c in test - smote+nopreprocess,RandomForest,0,23.1442,0.1104,0.6956,0.6713,0.3281,0.3251,0.6612,0.7022,0.7375,0.5617,2348,564,845,872,0.8063,0.5079,0.7354,0.6072
Scale hba1c in test - smote+nopreprocess,RandomForest,1,,,,,,,,,,,872,845,564,2348,0.5079,0.8063,0.6072,0.7354
Scale hba1c in test - smote+nopreprocess,Naive Bayes,0,47.358,0.0066,0.3128,0.5009,0.0124,0.0011,0.2421,0.1542,0.6106,0.4018,17,5,3176,1431,0.7727,0.3106,0.0053,0.9965
