Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - nosmote+preprocess,Stacking,0,11.8692,0.2671,0.7202,0.6744,0.3479,0.3479,0.674,0.7206,0.7489,0.5745,2539,641,654,795,0.7984,0.5487,0.7952,0.5536
Scale hba1c in test - nosmote+preprocess,Stacking,1,,,,,,,,,,,795,654,641,2539,0.5487,0.7984,0.5536,0.7952
Scale hba1c in test - smote+nopreprocess,LightGBM,0,18.831,0.0084,0.7116,0.6789,0.3479,0.3468,0.6729,0.7156,0.7505,0.5742,2443,585,750,851,0.8068,0.5315,0.7651,0.5926
Scale hba1c in test - smote+nopreprocess,LightGBM,1,,,,,,,,,,,851,750,585,2443,0.5315,0.8068,0.5926,0.7651
Scale hba1c in test - smote+nopreprocess,XGBoost,0,18.5337,0.0038,0.7058,0.6766,0.3411,0.3393,0.6689,0.7108,0.7479,0.5743,2406,575,787,861,0.8071,0.5225,0.7535,0.5996
Scale hba1c in test - smote+nopreprocess,XGBoost,1,,,,,,,,,,,861,787,575,2406,0.5225,0.8071,0.5996,0.7535
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,0,22.9535,0.0123,0.6868,0.6708,0.3235,0.3182,0.6565,0.6952,0.7417,0.5631,2276,533,917,903,0.8103,0.4962,0.7128,0.6288
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,903,917,533,2276,0.4962,0.8103,0.6288,0.7128
Scale hba1c in test - smote+nopreprocess,RandomForest,0,31.4581,0.2244,0.703,0.6751,0.3375,0.3353,0.6667,0.7084,0.7405,0.5653,2390,572,803,864,0.8069,0.5183,0.7485,0.6017
Scale hba1c in test - smote+nopreprocess,RandomForest,1,,,,,,,,,,,864,803,572,2390,0.5183,0.8069,0.6017,0.7485
Scale hba1c in test - smote+nopreprocess,Naive Bayes,0,46.0754,0.0053,0.3117,0.5007,0.0135,0.0009,0.2397,0.1508,0.6118,0.4007,9,2,3184,1434,0.8182,0.3105,0.0028,0.9986
Scale hba1c in test - smote+nopreprocess,Naive Bayes,1,,,,,,,,,,,1434,3184,2,9,0.3105,0.8182,0.9986,0.0028
Scale hba1c in test - smote+nopreprocess,LogisticRegression,0,19.1391,0.0023,0.6937,0.6019,0.2277,0.2216,0.6067,0.6769,0.6865,0.4889,2694,919,499,517,0.7456,0.5089,0.8437,0.36
Scale hba1c in test - smote+nopreprocess,LogisticRegression,1,,,,,,,,,,,517,499,919,2694,0.5089,0.7456,0.36,0.8437
