Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.6399,0.6539,0.6782,0.6396,0.593,0.6629,0.6575,0.6819,0.6728
2,,,,,,,,,
3,0.5967,0.5991,0.6681,0.5964,0.5866,0.6336,0.6215,0.6449,0.6595
4,,,,,,,,,
5,0.5916,0.6577,0.6773,0.5903,0.5753,0.6518,0.4891,0.6645,0.6793
6,,,,,,,,,
7,0.5003,0.5924,0.6529,0.5361,0.5712,0.6297,0.4722,0.6332,0.6482
8,,,,,,,,,
