Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.5407,0.5611,0.5833,0.5409,0.4626,0.5584,0.5706,0.5806,0.5766
2,,,,,,,,,
3,0.5349,0.5684,0.5799,0.535,0.4319,0.5668,0.5436,0.5797,0.5672
4,,,,,,,,,
5,0.4539,0.5404,0.5629,0.4594,0.4009,0.5438,0.3691,0.5557,0.5648
6,,,,,,,,,
7,0.463,0.5591,0.5687,0.4724,0.3978,0.5466,0.3771,0.5726,0.5584
8,,,,,,,,,
