Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.299,0.3201,0.3591,0.2985,0.226,0.326,0.3275,0.3645,0.3498
2,,,,,,,,,
3,0.2256,0.2399,0.3422,0.225,0.2016,0.2902,0.2845,0.3044,0.3268
4,,,,,,,,,
5,0.1987,0.316,0.3558,0.2016,0.1593,0.3065,0.051,0.329,0.3593
6,,,,,,,,,
7,0.093,0.2269,0.3133,0.1308,0.1432,0.2837,0.0474,0.2859,0.3046
8,,,,,,,,,
