Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.7306,0.7392,0.7486,0.7306,0.6775,0.7392,0.7449,0.7444,0.7473
2,,,,,,,,,
3,0.7266,0.7426,0.7506,0.7265,0.6587,0.7407,0.7399,0.7481,0.7456
4,,,,,,,,,
5,0.6551,0.726,0.7473,0.6586,0.6091,0.7272,0.5687,0.7374,0.7466
6,,,,,,,,,
7,0.6622,0.7359,0.7458,0.6673,0.6129,0.7324,0.5747,0.7435,0.7402
8,,,,,,,,,
