Model,Precision (Macro),Recall (Macro),F1 Score (Macro),Accuracy,AUC
XGBoost,0.6747507335160785,0.6200467738960298,0.6261611029381132,0.7178841309823678,0.7288518133216696
ElasticNetLogistic,0.6457257367529673,0.6050899814007963,0.6092703818744606,0.7005482293673136,0.7171269748060939
RandomForest,0.6662729755005481,0.6123515950287204,0.617149002714712,0.7125500074085049,0.7064237734715265
AdaBoost,0.6479506821088183,0.5971073868400767,0.5990468204063004,0.7015854200622315,0.7206755441817679
LightGBM,0.6750627539944138,0.6278320187425843,0.6351257115229145,0.7192176618758335,0.7274206251394538
