Model,Precision (Macro),Recall (Macro),F1 Score (Macro),Accuracy,AUC
Balanced,0.6612647197594967,0.6529303292845933,0.6564041214696237,0.7131749460043196,0.7321076397765555
ShallowFast,0.6415813734192917,0.6651854123309493,0.6320791235025792,0.6477321814254859,0.7312456724554692
Deep,0.6677710306042606,0.6656123640331004,0.6666448969940798,0.716414686825054,0.7373638968856064
Regularized,0.6635378986257124,0.6747262245765954,0.6675120744502783,0.7049676025917927,0.738462333117787
Conservative,0.6678046739839474,0.6753707930600624,0.670927712810647,0.7116630669546437,0.7403381745166717
RobustSubsample,0.666374104013711,0.6721525274603609,0.6688838571191513,0.7114470842332613,0.739827314491229
Lightweight,0.6563567925418591,0.6715933929060633,0.6603453915405764,0.6935205183585313,0.7351886008472344
Heavy,0.6558316385336955,0.6530164170448535,0.654335069701,0.706695464362851,0.718427967755666
