Model,Precision (Macro),Recall (Macro),F1 Score (Macro),Accuracy,AUC
XGBoost,0.6742292258058153,0.6520401488825707,0.6591971986636345,0.7247857613711273,0.7214445983491693
ElasticNetLogistic,0.659854946312296,0.6315586701011722,0.6387452377638905,0.7148978246539223,0.7193177768057479
RandomForest,0.671944699147502,0.6124041133062785,0.6181194933183364,0.7211601845748187,0.7159526297457333
AdaBoost,0.657655938894015,0.6265537289494787,0.633674004313026,0.7135794330916282,0.7223098061610491
LightGBM,0.6660250803577286,0.6537594266643986,0.6584925442684063,0.7172050098879367,0.7271223664066486
