Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,671,658,617,670,630,511,661,596,624
2,1331,1383,1535,1329,1301,1671,1405,1587,1492
3,240,231,417,241,502,320,743,343,405
4,1942,1976,1836,1943,1485,1926,1203,1902,1854
5,539,537,475,601,381,442,118,513,465
6,1337,1550,1722,1233,1568,1733,1916,1653,1729
7,65,229,400,157,244,322,76,335,397
8,2040,1966,1828,1970,1757,1915,1992,1902,1813
