Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.3199,0.3314,0.3667,0.318,0.2666,0.3403,0.3446,0.3742,0.3516
2,,,,,,,,,
3,0.2531,0.2762,0.3556,0.2553,0.2311,0.328,0.3339,0.3317,0.3569
4,,,,,,,,,
5,0.1952,0.2984,0.3363,0.2077,0.1542,0.3109,0.0648,0.3319,0.3309
6,,,,,,,,,
7,0.1084,0.2635,0.3329,0.1741,0.1158,0.3206,0.0664,0.3233,0.3192
8,,,,,,,,,
