Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.7078,0.6941,0.6508,0.7068,0.6646,0.539,0.6973,0.6287,0.6582
2,0.6368,0.6617,0.7344,0.6359,0.6225,0.7995,0.6722,0.7593,0.7139
3,0.2532,0.2437,0.4399,0.2542,0.5295,0.3376,0.7838,0.3618,0.4272
4,0.9292,0.9455,0.8785,0.9297,0.7105,0.9215,0.5756,0.91,0.8871
5,0.5686,0.5665,0.5011,0.634,0.4019,0.4662,0.1245,0.5411,0.4905
6,0.6397,0.7416,0.8239,0.59,0.7502,0.8292,0.9167,0.7909,0.8273
7,0.0686,0.2416,0.4219,0.1656,0.2574,0.3397,0.0802,0.3534,0.4188
8,0.9761,0.9407,0.8746,0.9426,0.8407,0.9163,0.9531,0.91,0.8675
