Method,AUC,ACC,PPV,NPV,SEN,SPE,F1_binary,F1_macro,F1_weighted,MCC,KAPPA,Brier score
GBM,0.7203939180845639,0.6873610905319306,0.5115537848605578,0.7914602500589761,0.5922509225092251,0.7323728443571272,0.5489525438221462,0.6548617594394177,0.692727952547208,0.3136328385691644,0.31167478761833534,0.20100365111608673
LR,0.72705960605775,0.6224625870499333,0.4496021220159151,0.8412218865391071,0.7818265682656826,0.5470421305391836,0.5708992926911418,0.6169311278270524,0.6333890946640582,0.30926188461351883,0.27529324861280635,0.23015084738052285
Nnet,0.687291725569515,0.6165357830789746,0.4402390438247012,0.8080370942812983,0.7135608856088561,0.5706177690460598,0.5445265751495952,0.6067054574826789,0.6289365499511528,0.26562149557195297,0.2442418829313031,0.24606586986295712
RF,0.7075703652419628,0.6937324048007112,0.5266209804955192,0.7590684253915911,0.46079335793357934,0.803972931674307,0.4915129151291513,0.6361942822226907,0.6879228551663433,0.2750289511615307,0.2737794670527437,0.198585301526152
XGBoost,0.7106817949318982,0.7057341828419025,0.5559655596555966,0.7532695686121413,0.41697416974169743,0.8423924907225496,0.4765419082762256,0.6359420176170906,0.6929330479681807,0.28320537162461495,0.27764771060884263,0.19471318061961185
