Method,AUC,ACC,Precision_0,Precision_1,Precision_macro,Recall_0,Recall_1,Recall_macro,F1_0,F1_1,F1_macro,NPV,SEN,SPE,MCC,KAPPA,Brier score
GBM,0.7747503376097336,0.728295109731821,0.7525689841420233,0.6667647896953147,0.709666886918669,0.8517615956590519,0.5140779349714569,0.6829197653152542,0.7990741261926754,0.5804349267822297,0.6897545264874526,0.7525689841420233,0.5140779349714569,0.8517615956590519,0.39165992803810024,0.3844740216157093,0.18155849169119
LR,0.7637032512696655,0.7223267429907698,0.7515436597594808,0.6514241129017779,0.7014838863306293,0.8400193131352454,0.5181270866860423,0.6790731999106439,0.7932916102784334,0.577047000948191,0.6851693056133121,0.7515436597594808,0.5181270866860423,0.8400193131352454,0.37988114907477566,0.37435677365164816,0.18524958975813585
Nnet,0.7713661731620615,0.7264906680077068,0.7581758910975447,0.6534070239060455,0.705791457501795,0.8354607165298156,0.5374274013402829,0.6864440589350491,0.7948711879546352,0.5894748029265451,0.69217299544059,0.7581758910975447,0.5374274013402829,0.8354607165298156,0.3917253954202703,0.38738295963083813,0.1831098341444133
RF,0.7478480098055625,0.7099269931726633,0.7451882330850568,0.6270778743820038,0.6861330537335304,0.8247759631106619,0.5106613343581614,0.6677186487344117,0.7829372901376456,0.5628047481516988,0.6728710191446722,0.7451882330850568,0.5106613343581614,0.8247759631106619,0.35336082683034936,0.3491633280335385,0.19324517348845927
XGBoost,0.7630411879159518,0.7214242331114644,0.7531662386583925,0.6465197307891133,0.6998429847237528,0.8343301150092814,0.5255293477129521,0.6799297313611169,0.7916544805927235,0.5797020087087006,0.685678244650712,0.7531662386583925,0.5255293477129521,0.8343301150092814,0.37924162414524726,0.3746954287222037,0.1867882731690798
