Method,AUC,ACC,PPV,NPV,SEN,SPE,F1_binary,F1_macro,F1_weighted,MCC,KAPPA,Brier score
GBM,0.7378392300622418,0.7143280485997926,0.636986301369863,0.7258641239570918,0.257380073800738,0.9305828421741977,0.36662286465177396,0.5910979255342284,0.6713554928641087,0.2611559381044209,0.22295668957016812,0.18583193373974521
LR,0.7273735532050802,0.7118091569121351,0.6184909670563231,0.7269283746556474,0.26845018450184505,0.9216328312595503,0.37439691219041493,0.5935898315885177,0.6719588513703553,0.2562388537574411,0.223379252671134,0.18858007817333075
Nnet,0.7161082072510312,0.7058823529411765,0.5899705014749262,0.7264480111653873,0.2767527675276753,0.9089718402095612,0.37676609105180536,0.5921452873566018,0.6691507697515453,0.24241844843353413,0.21591476878561455,0.19175038982331372
RF,0.7117422475796468,0.7067713735368203,0.5894039735099338,0.7285664089950808,0.2873616236162362,0.9052608600742196,0.3863565891472868,0.5968578429042187,0.6721192927953843,0.24748382738700353,0.22267599475346045,0.19280770577122539
XGBoost,0.7148731605194245,0.7140317084012446,0.5986733001658375,0.7391304347826086,0.33302583025830257,0.8943462126173325,0.42797866034380555,0.6186712740675961,0.6868504527482164,0.2771409845299821,0.25745999152885857,0.1937096628520125
