Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - smote+nopreprocess,LightGBM,0,19.6308,0.0062,0.7288,0.6527,0.3312,0.3259,0.6608,0.7179,0.741,0.5525,1787,521,303,427,0.7743,0.5849,0.855,0.4504
Scale hba1c in test - smote+nopreprocess,LightGBM,1,,,,,,,,,,,427,303,521,1787,0.5849,0.7743,0.4504,0.855
Scale hba1c in test - smote+nopreprocess,XGBoost,0,19.3534,0.0038,0.7301,0.6617,0.3428,0.3398,0.6687,0.7223,0.7382,0.5506,1763,493,327,455,0.7815,0.5818,0.8435,0.48
Scale hba1c in test - smote+nopreprocess,XGBoost,1,,,,,,,,,,,455,327,493,1763,0.5818,0.7815,0.48,0.8435
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,0,23.7439,0.0078,0.7047,0.6592,0.3165,0.3164,0.6582,0.7056,0.7289,0.5428,1631,438,459,510,0.7883,0.5263,0.7804,0.538
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,510,459,438,1631,0.5263,0.7883,0.538,0.7804
Scale hba1c in test - smote+nopreprocess,RandomForest,0,23.5841,0.0717,0.7212,0.6374,0.3047,0.2974,0.6453,0.707,0.7218,0.5375,1798,555,292,393,0.7641,0.5737,0.8603,0.4146
Scale hba1c in test - smote+nopreprocess,RandomForest,1,,,,,,,,,,,393,292,555,1798,0.5737,0.7641,0.4146,0.8603
Scale hba1c in test - smote+nopreprocess,Naive Bayes,0,19.0947,0.004,0.5987,0.5994,0.1848,0.1755,0.5777,0.6131,0.6181,0.426,1249,378,841,570,0.7677,0.404,0.5976,0.6013
Scale hba1c in test - smote+nopreprocess,Naive Bayes,1,,,,,,,,,,,570,841,378,1249,0.404,0.7677,0.6013,0.5976
Scale hba1c in test - smote+nopreprocess,LogisticRegression,0,19.2086,0.0016,0.5849,0.5946,0.1753,0.1636,0.568,0.6001,0.6499,0.4596,1189,360,901,588,0.7676,0.3949,0.5689,0.6203
Scale hba1c in test - smote+nopreprocess,LogisticRegression,1,,,,,,,,,,,588,901,360,1189,0.3949,0.7676,0.6203,0.5689
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,0,23.6747,0.002,0.5876,0.5991,0.1836,0.171,0.5713,0.6027,0.6498,0.4597,1188,351,902,597,0.7719,0.3983,0.5684,0.6297
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,597,902,351,1188,0.3983,0.7719,0.6297,0.5684
Scale hba1c in test - smote+nopreprocess,SVM,0,395.0274,16.2253,0.681,0.5226,0.0822,0.0575,0.4841,0.6039,0.5709,0.3771,1973,852,117,96,0.6984,0.4507,0.944,0.1013
Scale hba1c in test - smote+nopreprocess,SVM,1,,,,,,,,,,,96,117,852,1973,0.4507,0.6984,0.1013,0.944
Scale hba1c in test - smote+nopreprocess,Stacking,0,69.4903,0.1787,0.7103,0.656,0.3165,0.3163,0.658,0.7083,0.7333,0.5483,1673,463,417,485,0.7832,0.5377,0.8005,0.5116
Scale hba1c in test - smote+nopreprocess,Stacking,1,,,,,,,,,,,485,417,463,1673,0.5377,0.7832,0.5116,0.8005
Scale hba1c in test - nosmote+nopreprocess,LightGBM,0,0.079,0.0067,0.7278,0.6301,0.3066,0.291,0.6386,0.7061,0.7397,0.5644,1860,597,230,351,0.757,0.6041,0.89,0.3703
Scale hba1c in test - nosmote+nopreprocess,LightGBM,1,,,,,,,,,,,351,230,597,1860,0.6041,0.757,0.3703,0.89
Scale hba1c in test - nosmote+nopreprocess,XGBoost,0,0.0682,0.0034,0.7291,0.6322,0.3107,0.2953,0.641,0.7078,0.7371,0.5544,1860,593,230,355,0.7583,0.6068,0.89,0.3745
Scale hba1c in test - nosmote+nopreprocess,XGBoost,1,,,,,,,,,,,355,230,593,1860,0.6068,0.7583,0.3745,0.89
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,0,1.7673,0.0079,0.7219,0.5837,0.2574,0.2054,0.5757,0.6693,0.7356,0.559,1988,743,102,205,0.7279,0.6678,0.9512,0.2162
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,205,102,743,1988,0.6678,0.7279,0.2162,0.9512
Scale hba1c in test - nosmote+nopreprocess,RandomForest,0,2.262,0.0657,0.7284,0.6084,0.2896,0.2553,0.6119,0.6918,0.726,0.5484,1939,674,151,274,0.7421,0.6447,0.9278,0.289
Scale hba1c in test - nosmote+nopreprocess,RandomForest,1,,,,,,,,,,,274,151,674,1939,0.6447,0.7421,0.289,0.9278
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,0,0.0052,0.0021,0.6267,0.5866,0.1672,0.1662,0.582,0.6334,0.6347,0.4299,1449,493,641,455,0.7461,0.4151,0.6933,0.48
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,1,,,,,,,,,,,455,641,493,1449,0.4151,0.7461,0.48,0.6933
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,0,0.3131,0.0015,0.6998,0.572,0.1965,0.1708,0.5662,0.6567,0.6651,0.4673,1906,728,184,220,0.7236,0.5446,0.912,0.2321
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,1,,,,,,,,,,,220,184,728,1906,0.5446,0.7236,0.2321,0.912
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,0,2.5175,0.0022,0.6935,0.5606,0.1706,0.1451,0.5502,0.6457,0.6631,0.4651,1911,752,179,196,0.7176,0.5227,0.9144,0.2068
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,196,179,752,1911,0.5227,0.7176,0.2068,0.9144
Scale hba1c in test - nosmote+nopreprocess,SVM,0,151.2755,4.3094,0.685,0.5186,0.0788,0.0482,0.4692,0.5964,0.572,0.3787,2009,876,81,72,0.6964,0.4706,0.9612,0.0759
Scale hba1c in test - nosmote+nopreprocess,SVM,1,,,,,,,,,,,72,81,876,2009,0.4706,0.6964,0.0759,0.9612
Scale hba1c in test - nosmote+nopreprocess,Stacking,0,9.7207,0.1893,0.7321,0.6139,0.3016,0.2674,0.6188,0.6969,0.7408,0.5734,1940,664,150,284,0.745,0.6544,0.9282,0.2996
Scale hba1c in test - nosmote+nopreprocess,Stacking,1,,,,,,,,,,,284,150,664,1940,0.6544,0.745,0.2996,0.9282
