Method,AUC,ACC,PPV,NPV,SEN,SPE,F1_binary,F1_macro,F1_weighted,MCC,KAPPA,Brier score,Precision_0,Recall_0,F1_0,Support_0,Precision_1,Recall_1,F1_1,Support_1
GBM,0.7508068179895944,0.7181804711809157,0.557476231633535,0.8020293122886133,0.5950184501845018,0.7764680200829513,0.5756358768406962,0.6823387902393365,0.720488757646496,0.3654469120860371,0.3650125344327134,0.18943848799801077,0.8020293122886133,0.7764680200829513,0.7890417036379769,4581.0,0.557476231633535,0.5950184501845018,0.5756358768406962,2168.0
LR,0.738908744686661,0.7045488220477107,0.535831960461285,0.7993520018514233,0.6000922509225092,0.7539838463217639,0.5661444734551784,0.6710749327509546,0.7085911867560974,0.3445005504125578,0.3432350137594826,0.1962377612683169,0.7993520018514233,0.7539838463217639,0.776005392046731,4581.0,0.535831960461285,0.6000922509225092,0.5661444734551784,2168.0
Nnet,0.7353237260270442,0.7066232034375463,0.5405172413793103,0.793632874237977,0.5784132841328413,0.7672997162191662,0.5588235294117647,0.6695338512763596,0.7091166052635085,0.33988239000869486,0.3394451169333137,0.19501975355589574,0.793632874237977,0.7672997162191662,0.7802441731409545,4581.0,0.5405172413793103,0.5784132841328413,0.5588235294117647,2168.0
RF,0.7321989550936767,0.7030671210549712,0.5345408593091828,0.7945142857142857,0.5853321033210332,0.7587862912027942,0.5587846763540291,0.6675120344700025,0.7063858106048141,0.33650249362416496,0.3357170579167472,0.1974688990961624,0.7945142857142857,0.7587862912027942,0.7762393925859759,4581.0,0.5345408593091828,0.5853321033210332,0.5587846763540291,2168.0
XGBoost,0.7417256097904791,0.7104756260186694,0.5448449287510477,0.8010543204217282,0.5996309963099631,0.7629338572364113,0.5709266578831796,0.6762280874389064,0.7138769760917392,0.35413402917275316,0.3532108341405398,0.19439220878630648,0.8010543204217282,0.7629338572364113,0.7815295169946332,4581.0,0.5448449287510477,0.5996309963099631,0.5709266578831796,2168.0
