Method,AUC,ACC,PPV,NPV,SEN,SPE,F1_binary,F1_macro,F1_weighted,MCC,KAPPA,Brier score,Precision_0,Recall_0,F1_0,Support_0,Precision_1,Recall_1,F1_1,Support_1
GBM,0.7476088967667672,0.6670617869313973,0.48778979907264297,0.8321001707455891,0.727859778597786,0.6382885832787601,0.5841199333703498,0.6532705905270526,0.6779943326694624,0.3422384964168751,0.32413408624439544,0.20894517879114527,0.8321001707455891,0.6382885832787601,0.7224212476837554,4581.0,0.48778979907264297,0.727859778597786,0.5841199333703498,2168.0
LR,0.7366183804274191,0.6392058082678915,0.46307053941908716,0.8423739629865986,0.772140221402214,0.5762933857236411,0.5789382673352931,0.6316596715808027,0.6505093898271228,0.32623171174791554,0.2963418226133724,0.22921468566200354,0.8423739629865986,0.5762933857236411,0.6843810758263124,4581.0,0.46307053941908716,0.772140221402214,0.5789382673352931,2168.0
Nnet,0.7286870363792046,0.6479478441250556,0.4687875150060024,0.8226514486391572,0.7204797047970479,0.6136214800261951,0.568,0.6354628657164291,0.6595831642752886,0.31204182901897287,0.2927107983839765,0.22527479044340948,0.8226514486391572,0.6136214800261951,0.7029257314328582,4581.0,0.4687875150060024,0.7204797047970479,0.568,2168.0
RF,0.7300556969223916,0.6793599051711364,0.5007097232079489,0.8074281353345205,0.650830258302583,0.6928618205631958,0.5659847573204974,0.6558777170061134,0.6880175468655579,0.325429779183944,0.318539398663641,0.2085368943547192,0.8074281353345205,0.6928618205631958,0.7457706766917294,4581.0,0.5007097232079489,0.650830258302583,0.5659847573204974,2168.0
XGBoost,0.7363132938795006,0.6963994665876426,0.522176667909057,0.8113625184456468,0.6462177121771218,0.7201484392054137,0.577612863327149,0.670326033837739,0.7034741862221001,0.3495675443173109,0.3447948776056149,0.20162580590255016,0.8113625184456468,0.7201484392054137,0.763039204348329,4581.0,0.522176667909057,0.6462177121771218,0.577612863327149,2168.0
