Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.5904,0.6952,0.7718,0.5909,0.611,0.8321,0.6928,0.7957,0.7426
2,0.7226,0.6677,0.5876,0.7236,0.6867,0.4916,0.6308,0.5939,0.6255
3,0.9019,0.9517,0.8885,0.9024,0.5775,0.9287,0.5502,0.923,0.8923
4,0.308,0.212,0.3935,0.307,0.6878,0.2795,0.7532,0.3207,0.3903
5,0.5684,0.7804,0.855,0.5689,0.5976,0.8603,0.944,0.8005,0.8435
6,0.6297,0.538,0.4504,0.6203,0.6013,0.4146,0.1013,0.5116,0.48
7,0.9144,0.9512,0.89,0.912,0.6933,0.9278,0.9612,0.9282,0.89
8,0.2068,0.2162,0.3703,0.2321,0.48,0.289,0.0759,0.2996,0.3745
