Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.6565,0.6815,0.6797,0.6573,0.6489,0.6618,0.6618,0.6948,0.6841
2,,,,,,,,,
3,0.605,0.5818,0.641,0.6047,0.6326,0.6041,0.6517,0.6218,0.6413
4,,,,,,,,,
5,0.5991,0.6592,0.6527,0.5946,0.5994,0.6374,0.5226,0.656,0.6617
6,,,,,,,,,
7,0.5606,0.5837,0.6301,0.572,0.5866,0.6084,0.5186,0.6139,0.6322
8,,,,,,,,,
