Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,263,315,391,262,297,482,350,385,355
2,856,637,477,855,813,351,642,427,538
3,656,747,575,657,296,683,234,644,578
4,205,101,233,204,883,149,940,161,225
5,351,438,521,360,378,555,852,463,493
6,902,459,303,901,841,292,117,417,327
7,752,743,597,728,493,674,876,664,593
8,179,102,230,184,641,151,81,150,230
