Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - smote+nopreprocess,LightGBM,0,45.6896,0.0064,0.7232,0.6625,0.3363,0.3351,0.6671,0.7185,0.7473,0.5681,1722,473,368,475,0.7845,0.5635,0.8239,0.5011
Scale hba1c in test - smote+nopreprocess,LightGBM,1,,,,,,,,,,,475,368,473,1722,0.5635,0.7845,0.5011,0.8239
Scale hba1c in test - smote+nopreprocess,XGBoost,0,42.8716,0.0035,0.7222,0.6589,0.3309,0.3294,0.664,0.7166,0.7415,0.5576,1729,483,361,465,0.7816,0.563,0.8273,0.4905
Scale hba1c in test - smote+nopreprocess,XGBoost,1,,,,,,,,,,,465,361,483,1729,0.563,0.7816,0.4905,0.8273
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,0,49.3758,0.0077,0.687,0.654,0.2984,0.297,0.6478,0.692,0.725,0.5434,1550,411,540,537,0.7904,0.4986,0.7416,0.5665
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,537,540,411,1550,0.4986,0.7904,0.5665,0.7416
Scale hba1c in test - smote+nopreprocess,RandomForest,0,48.8987,0.0941,0.7159,0.6477,0.3109,0.3087,0.6533,0.7087,0.728,0.5367,1733,506,357,442,0.774,0.5532,0.8292,0.4662
Scale hba1c in test - smote+nopreprocess,RandomForest,1,,,,,,,,,,,442,357,506,1733,0.5532,0.774,0.4662,0.8292
Scale hba1c in test - smote+nopreprocess,Naive Bayes,0,126.3588,0.0025,0.6415,0.5761,0.1542,0.1541,0.577,0.6391,0.6161,0.3992,1568,567,522,381,0.7344,0.4219,0.7502,0.4019
Scale hba1c in test - smote+nopreprocess,Naive Bayes,1,,,,,,,,,,,381,522,567,1568,0.4219,0.7344,0.4019,0.7502
Scale hba1c in test - smote+nopreprocess,LogisticRegression,0,113.121,0.002,0.6037,0.612,0.2077,0.1952,0.5858,0.6182,0.6615,0.4632,1233,347,857,601,0.7804,0.4122,0.59,0.634
Scale hba1c in test - smote+nopreprocess,LogisticRegression,1,,,,,,,,,,,601,857,347,1233,0.4122,0.7804,0.634,0.59
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,0,152.8091,0.0029,0.6175,0.6041,0.1952,0.1895,0.5892,0.6297,0.6527,0.4499,1337,409,753,539,0.7658,0.4172,0.6397,0.5686
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,539,753,409,1337,0.4172,0.7658,0.5686,0.6397
Scale hba1c in test - smote+nopreprocess,SVM,0,608.3162,7.7344,0.6695,0.5206,0.0648,0.0508,0.4914,0.6045,0.5725,0.3675,1916,830,174,118,0.6977,0.4041,0.9167,0.1245
Scale hba1c in test - smote+nopreprocess,SVM,1,,,,,,,,,,,118,174,830,1916,0.4041,0.6977,0.1245,0.9167
Scale hba1c in test - smote+nopreprocess,Stacking,0,68.1662,0.1928,0.713,0.666,0.3319,0.3319,0.6659,0.7131,0.737,0.5556,1653,435,437,513,0.7917,0.54,0.7909,0.5411
Scale hba1c in test - smote+nopreprocess,Stacking,1,,,,,,,,,,,513,437,435,1653,0.54,0.7917,0.5411,0.7909
Scale hba1c in test - nosmote+nopreprocess,LightGBM,0,0.0856,0.0058,0.7334,0.6483,0.3329,0.3232,0.6578,0.7182,0.7498,0.5769,1828,548,262,400,0.7694,0.6042,0.8746,0.4219
Scale hba1c in test - nosmote+nopreprocess,LightGBM,1,,,,,,,,,,,400,262,548,1828,0.6042,0.7694,0.4219,0.8746
Scale hba1c in test - nosmote+nopreprocess,XGBoost,0,0.0834,0.0034,0.7275,0.6431,0.3192,0.3108,0.6518,0.7128,0.7469,0.5717,1813,551,277,397,0.7669,0.589,0.8675,0.4188
Scale hba1c in test - nosmote+nopreprocess,XGBoost,1,,,,,,,,,,,397,277,551,1813,0.589,0.7669,0.4188,0.8675
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,0,2.5364,0.0078,0.7225,0.5911,0.2635,0.2199,0.5877,0.6764,0.7383,0.5607,1966,719,124,229,0.7322,0.6487,0.9407,0.2416
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,229,124,719,1966,0.6487,0.7322,0.2416,0.9407
Scale hba1c in test - nosmote+nopreprocess,RandomForest,0,3.3964,0.078,0.7363,0.628,0.3206,0.2942,0.6364,0.708,0.7364,0.5582,1915,626,175,322,0.7536,0.6479,0.9163,0.3397
Scale hba1c in test - nosmote+nopreprocess,RandomForest,1,,,,,,,,,,,322,175,626,1915,0.6479,0.7536,0.3397,0.9163
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,0,0.0057,0.002,0.6587,0.549,0.1158,0.1098,0.5461,0.631,0.6222,0.3978,1757,704,333,244,0.7139,0.4229,0.8407,0.2574
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,1,,,,,,,,,,,244,333,704,1757,0.4229,0.7139,0.2574,0.8407
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,0,0.3993,0.0013,0.7001,0.5541,0.1741,0.1341,0.5343,0.6387,0.6663,0.4704,1970,791,120,157,0.7135,0.5668,0.9426,0.1656
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,1,,,,,,,,,,,157,120,791,1970,0.5668,0.7135,0.1656,0.9426
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,0,3.8978,0.0018,0.6929,0.5223,0.1084,0.0587,0.4681,0.5981,0.6544,0.4535,2040,883,50,65,0.6979,0.5652,0.9761,0.0686
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,65,50,883,2040,0.5652,0.6979,0.0686,0.9761
Scale hba1c in test - nosmote+nopreprocess,SVM,0,196.2698,5.9011,0.6807,0.5166,0.0664,0.0428,0.4698,0.5955,0.5739,0.3728,1992,872,98,76,0.6955,0.4368,0.9531,0.0802
Scale hba1c in test - nosmote+nopreprocess,SVM,1,,,,,,,,,,,76,98,872,1992,0.4368,0.6955,0.0802,0.9531
Scale hba1c in test - nosmote+nopreprocess,Stacking,0,12.2535,0.1735,0.7363,0.6317,0.3233,0.3002,0.6408,0.7104,0.7453,0.5735,1902,613,188,335,0.7563,0.6405,0.91,0.3534
Scale hba1c in test - nosmote+nopreprocess,Stacking,1,,,,,,,,,,,335,188,613,1902,0.6405,0.7563,0.3534,0.91
