Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,7.3715,0.0134,0.6978,0.6714,0.7064,0.7494,0.5746,1491,319,599,629,0.8238,0.5122,0.7134,0.6635
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,629,599,319,1491,0.5122,0.8238,0.6635,0.7134
Full_data_raw without SVMSMOTE,XGBoost,0,14.5919,0.014,0.6988,0.6733,0.7076,0.7513,0.5783,1486,311,604,637,0.8269,0.5133,0.711,0.6719
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,637,604,311,1486,0.5133,0.8269,0.6719,0.711
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,17.0963,0.0127,0.6633,0.6466,0.6755,0.7401,0.5654,1337,270,753,678,0.832,0.4738,0.6397,0.7152
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,678,753,270,1337,0.4738,0.832,0.7152,0.6397
Full_data_raw without SVMSMOTE,RandomForest,0,13.5013,0.0961,0.7146,0.6656,0.7137,0.7461,0.5727,1667,444,423,504,0.7897,0.5437,0.7976,0.5316
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,504,423,444,1667,0.5437,0.7897,0.5316,0.7976
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,16.0419,0.0139,0.6662,0.6479,0.6781,0.7435,0.5691,1359,283,731,665,0.8276,0.4764,0.6502,0.7015
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,665,731,283,1359,0.4764,0.8276,0.7015,0.6502
Full_data_raw without SVMSMOTE,Naive Bayes,0,6.8939,0.012,0.631,0.6145,0.6445,0.6819,0.458,1273,304,817,644,0.8072,0.4408,0.6091,0.6793
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,644,817,304,1273,0.4408,0.8072,0.6793,0.6091
Full_data_raw without SVMSMOTE,LogisticRegression,0,6.7877,0.0065,0.659,0.6422,0.6713,0.729,0.535,1330,276,760,672,0.8281,0.4693,0.6364,0.7089
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,672,760,276,1330,0.4693,0.8281,0.7089,0.6364
Full_data_raw without SVMSMOTE,ElasticNetLR,0,7.6233,0.0072,0.6587,0.6419,0.671,0.729,0.5349,1329,276,761,672,0.828,0.4689,0.6359,0.7089
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,672,761,276,1329,0.4689,0.828,0.7089,0.6359
Full_data_raw without SVMSMOTE,Stacking,0,46.9966,0.1946,0.707,0.6766,0.7139,0.7471,0.5766,1540,340,550,608,0.8191,0.525,0.7368,0.6414
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,608,550,340,1540,0.525,0.8191,0.6414,0.7368
