Model,Precision (Macro),Recall (Macro),F1 Score (Macro),Accuracy,AUC
XGBoost,0.6769240857141394,0.6738732539584728,0.6753037681362083,0.7192176618758335,0.7405720201602801
ElasticNetLogistic,0.6429019419215497,0.6556121123588446,0.5938381000994983,0.5956437990813453,0.7200049579081254
RandomForest,0.6551597713229004,0.6311164314983032,0.6373532921131722,0.7060305230404504,0.7063002788672287
AdaBoost,0.6503077339909008,0.6722668172163058,0.6410643844862927,0.6538746480960143,0.7247327925145657
LightGBM,0.6717148332162769,0.6395805190861339,0.6472131577535616,0.7181804711809157,0.7298532624324279
