Model,Precision (Macro),Recall (Macro),F1 Score (Macro),Accuracy,AUC
XGBoost,0.6495379940283741,0.671401262018744,0.6487912720119331,0.6710613052076466,0.7355638380598284
ElasticNetLogistic,0.6352420260468591,0.6521206451038046,0.5918804030198533,0.5955833882663151,0.7252593092107928
RandomForest,0.65718316426166,0.6495073023741829,0.6527206887455335,0.7089650626235993,0.7168704891740176
AdaBoost,0.6363529073051302,0.6570481276275182,0.6075685932810533,0.6147000659195782,0.7274015718532558
LightGBM,0.664351878134166,0.6758801932719334,0.668364331949924,0.7046802900461437,0.7279658048002074
