Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - nosmote+preprocess,Stacking,1,,,,,,,,,,,354,214,594,1876,0.6232,0.7595,0.3734,0.8976
Scale hba1c in test - smote+nopreprocess,LightGBM,0,35.6707,0.0066,0.733,0.6717,0.3574,0.3558,0.6773,0.7277,0.7473,0.5629,1745,466,345,482,0.7892,0.5828,0.8349,0.5084
Scale hba1c in test - smote+nopreprocess,LightGBM,1,,,,,,,,,,,482,345,466,1745,0.5828,0.7892,0.5084,0.8349
Scale hba1c in test - smote+nopreprocess,XGBoost,0,36.2823,0.0039,0.7321,0.675,0.3602,0.3593,0.6793,0.7282,0.7466,0.5648,1728,452,362,496,0.7927,0.5781,0.8268,0.5232
Scale hba1c in test - smote+nopreprocess,XGBoost,1,,,,,,,,,,,496,362,452,1728,0.5781,0.7927,0.5232,0.8268
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,0,42.1026,0.0075,0.6988,0.6621,0.3167,0.316,0.6577,0.7023,0.726,0.5404,1588,413,502,535,0.7936,0.5159,0.7598,0.5643
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,535,502,413,1588,0.5159,0.7936,0.5643,0.7598
Scale hba1c in test - smote+nopreprocess,RandomForest,0,41.9666,0.0879,0.7172,0.6455,0.3096,0.3065,0.6518,0.7086,0.7272,0.5438,1748,517,342,431,0.7717,0.5576,0.8364,0.4546
Scale hba1c in test - smote+nopreprocess,RandomForest,1,,,,,,,,,,,431,342,517,1748,0.5576,0.7717,0.4546,0.8364
Scale hba1c in test - smote+nopreprocess,Naive Bayes,0,36.5494,0.003,0.608,0.5865,0.163,0.1593,0.5753,0.6196,0.6091,0.4009,1345,446,745,502,0.751,0.4026,0.6435,0.5295
Scale hba1c in test - smote+nopreprocess,Naive Bayes,1,,,,,,,,,,,502,745,446,1345,0.4026,0.751,0.5295,0.6435
Scale hba1c in test - smote+nopreprocess,LogisticRegression,0,37.7078,0.0017,0.6096,0.6148,0.2132,0.2016,0.5903,0.6237,0.6586,0.4594,1256,352,834,596,0.7811,0.4168,0.601,0.6287
Scale hba1c in test - smote+nopreprocess,LogisticRegression,1,,,,,,,,,,,596,834,352,1256,0.4168,0.7811,0.6287,0.601
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,0,41.4027,0.0019,0.6152,0.6111,0.2071,0.1987,0.5916,0.6285,0.6551,0.4539,1300,379,790,569,0.7743,0.4187,0.622,0.6002
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,569,790,379,1300,0.4187,0.7743,0.6002,0.622
Scale hba1c in test - smote+nopreprocess,SVM,0,319.6592,6.5513,0.6718,0.5206,0.0666,0.051,0.4891,0.6039,0.5687,0.3691,1929,836,161,112,0.6976,0.4103,0.923,0.1181
Scale hba1c in test - smote+nopreprocess,SVM,1,,,,,,,,,,,112,161,836,1929,0.4103,0.6976,0.1181,0.923
Scale hba1c in test - smote+nopreprocess,Stacking,0,59.2515,0.184,0.7126,0.6641,0.329,0.329,0.6645,0.7123,0.7374,0.5557,1658,441,432,507,0.7899,0.5399,0.7933,0.5348
Scale hba1c in test - smote+nopreprocess,Stacking,1,,,,,,,,,,,507,432,441,1658,0.5399,0.7899,0.5348,0.7933
Scale hba1c in test - nosmote+nopreprocess,LightGBM,0,0.0854,0.0062,0.7288,0.6441,0.322,0.3133,0.6529,0.7139,0.7458,0.5687,1817,551,273,397,0.7673,0.5925,0.8694,0.4188
Scale hba1c in test - nosmote+nopreprocess,LightGBM,1,,,,,,,,,,,397,273,551,1817,0.5925,0.7673,0.4188,0.8694
Scale hba1c in test - nosmote+nopreprocess,XGBoost,0,0.0879,0.004,0.7265,0.6395,0.314,0.3046,0.6482,0.7106,0.7402,0.5584,1820,561,270,387,0.7644,0.589,0.8708,0.4082
Scale hba1c in test - nosmote+nopreprocess,XGBoost,1,,,,,,,,,,,387,270,561,1820,0.589,0.7644,0.4082,0.8708
