Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.4445,0.4984,0.5387,0.4452,0.4447,0.5704,0.4823,0.5687,0.5243
2,0.8243,0.8218,0.8049,0.825,0.8113,0.783,0.8053,0.812,0.8138
3,0.5875,0.6656,0.6155,0.5879,0.4248,0.6401,0.4317,0.6538,0.6218
4,0.7418,0.727,0.7636,0.7416,0.8031,0.7397,0.8309,0.7497,0.7634
5,0.3983,0.5263,0.5849,0.3949,0.404,0.5737,0.4507,0.5377,0.5818
6,0.7719,0.7883,0.7743,0.7676,0.7677,0.7641,0.6984,0.7832,0.7815
7,0.5227,0.6678,0.6041,0.5446,0.4151,0.6447,0.4706,0.6544,0.6068
8,0.7176,0.7279,0.757,0.7236,0.7461,0.7421,0.6964,0.745,0.7583
