Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.6317,0.6866,0.7143,0.6323,0.6346,0.7258,0.6735,0.7327,0.7061
2,,,,,,,,,
3,0.7166,0.7209,0.734,0.7166,0.6119,0.7261,0.6136,0.735,0.7357
4,,,,,,,,,
5,0.5876,0.7047,0.7288,0.5849,0.5987,0.7212,0.681,0.7103,0.7301
6,,,,,,,,,
7,0.6935,0.7219,0.7278,0.6998,0.6267,0.7284,0.685,0.7321,0.7291
8,,,,,,,,,
