Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,277,290,331,278,318,437,287,352,324
2,759,707,555,761,789,419,685,503,598
3,708,717,531,707,446,628,205,605,543
4,148,114,254,147,605,164,887,188,236
5,409,411,473,347,567,506,830,435,483
6,753,540,368,857,522,357,174,437,361
7,883,719,548,791,704,626,872,613,551
8,50,124,262,120,333,175,98,188,277
