Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.6713,0.6832,0.7155,0.6704,0.6487,0.7175,0.691,0.7237,0.705
2,,,,,,,,,
3,0.6758,0.6799,0.7275,0.6766,0.6606,0.7101,0.6531,0.714,0.7276
4,,,,,,,,,
5,0.6297,0.692,0.7185,0.6182,0.6391,0.7087,0.6045,0.7131,0.7166
6,,,,,,,,,
7,0.5981,0.6764,0.7182,0.6387,0.631,0.708,0.5955,0.7104,0.7128
8,,,,,,,,,
