Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.5643397813288478,0.5689580631214873,0.5820754716981131,0.5632618747372845,0.532319391634981,0.54419595314164,0.5762859633827375,0.5823155837811431,0.5751152073732719
2,0.7198485667928611,0.7350518203560987,0.776036400404449,0.7189613199891803,0.7015368023726073,0.796093377798952,0.742993125330513,0.7877885331347729,0.763952892985151
3,0.3592814371257485,0.35730858468677495,0.5151327980234712,0.36077844311377244,0.48856447688564475,0.44692737430167595,0.5764158262218774,0.4638269100743746,0.5097545626179987
4,0.8194092827004219,0.8262596696633911,0.8238725600179492,0.8198312236286919,0.7386222332753046,0.8294573643410853,0.6878216123499142,0.8274961931694583,0.8263873412079341
5,0.48125,0.5303703703703704,0.5304299274148521,0.4995843724023274,0.41166936790923825,0.5060103033772181,0.1903225806451613,0.5405690200210748,0.52423900789177
6,0.6970802919708029,0.7652431498395457,0.8037339556592766,0.6719346049046322,0.7422485207100592,0.8006468006468007,0.7923904052936311,0.7912876974629008,0.8038121803812179
7,0.12229539040451552,0.3520368946963874,0.49689440993788814,0.2563265306122449,0.32,0.44567474048442907,0.1354723707664884,0.45547246770904143,0.48951911220715166
8,0.8138839018551765,0.823455497382199,0.8186296462158531,0.8122036693465265,0.7721379916501867,0.8270351975815158,0.8041986273718207,0.8260586319218242,0.814099685675797
