Run,ElasticNetLR,GradientBoosting_80,LightGBM,LogisticRegression,Naive Bayes,RandomForest,SVM,Stacking,XGBoost
1,0.8277,0.8267,0.8226,0.827,0.8036,0.7927,0.8304,0.8185,0.8216
2,0.4692,0.4821,0.5265,0.4682,0.444,0.5495,0.4911,0.5423,0.5106
3,0.7328,0.7338,0.7757,0.7332,0.769,0.7541,0.8544,0.7587,0.7735
4,0.6186,0.6696,0.6215,0.6211,0.4535,0.6612,0.4558,0.646,0.6318
5,0.7658,0.7904,0.7845,0.7804,0.7344,0.774,0.6977,0.7917,0.7816
6,0.4172,0.4986,0.5635,0.4122,0.4219,0.5532,0.4041,0.54,0.563
7,0.6979,0.7322,0.7694,0.7135,0.7139,0.7536,0.6955,0.7563,0.7669
8,0.5652,0.6487,0.6042,0.5668,0.4229,0.6479,0.4368,0.6405,0.589
